[16:20:09.287] [INFO   ] thread main starting.
[16:20:09.299] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:20:38.764] [SEVERE ] updating countdown to 15434
[16:20:38.874] [SEVERE ] updating countdown to 15324
[16:20:38.874] [SEVERE ] updating countdown to 15324
[16:20:38.984] [SEVERE ] updating countdown to 15214
[16:20:38.984] [SEVERE ] updating countdown to 15214
[16:20:39.094] [SEVERE ] updating countdown to 15104
[16:20:39.094] [SEVERE ] updating countdown to 15104
[16:20:39.203] [SEVERE ] updating countdown to 14995
[16:20:39.203] [SEVERE ] updating countdown to 14995
[16:20:39.314] [SEVERE ] updating countdown to 14884
[16:20:39.314] [SEVERE ] updating countdown to 14884
[16:20:39.424] [SEVERE ] updating countdown to 14774
[16:20:39.424] [SEVERE ] updating countdown to 14774
[16:20:39.535] [SEVERE ] updating countdown to 14663
[16:20:39.535] [SEVERE ] updating countdown to 14663
[16:20:39.645] [SEVERE ] updating countdown to 14553
[16:20:39.645] [SEVERE ] updating countdown to 14553
[16:20:39.755] [SEVERE ] updating countdown to 14443
[16:20:39.755] [SEVERE ] updating countdown to 14443
[16:20:39.771] [SEVERE ] key 81 was pressed by player 1
[16:20:39.771] [SEVERE ] player 1 placing token on slot 0
[16:20:39.865] [SEVERE ] updating countdown to 14333
[16:20:39.865] [SEVERE ] updating countdown to 14333
[16:20:39.881] [SEVERE ] key 87 was pressed by player 1
[16:20:39.881] [SEVERE ] player 1 placing token on slot 1
[16:20:39.975] [SEVERE ] updating countdown to 14223
[16:20:39.975] [SEVERE ] updating countdown to 14223
[16:20:40.046] [SEVERE ] key 65 was pressed by player 1
[16:20:40.046] [SEVERE ] player 1 placing token on slot 4
[16:20:40.048] [SEVERE ] updating countdown to 14150
[16:20:40.048] [INFO   ] remove  in the table step 1
[16:20:40.048] [INFO   ] remove  in the table step 2
[16:20:40.048] [SEVERE ] removing player 1 token from slot 0
[16:20:40.164] [SEVERE ] removing card from slot 0
[16:20:40.164] [SEVERE ] removing player 1 token from slot 1
[16:20:40.273] [SEVERE ] removing card from slot 1
[16:20:40.273] [SEVERE ] removing player 1 token from slot 4
[16:20:40.383] [SEVERE ] removing card from slot 4
[16:20:40.383] [SEVERE ] setting player 1 score to 1
[16:20:40.383] [SEVERE ] setting player 1 freeze to 1000
[16:20:40.493] [SEVERE ] placing card 26 in slot 0
[16:20:40.604] [SEVERE ] placing card 69 in slot 1
[16:20:40.715] [SEVERE ] placing card 42 in slot 4
[16:20:40.715] [SEVERE ] updating countdown to 20000
[16:20:40.823] [SEVERE ] updating countdown to 19942
[16:20:40.823] [SEVERE ] updating countdown to 19942
[16:20:40.932] [SEVERE ] updating countdown to 19833
[16:20:40.932] [SEVERE ] updating countdown to 19833
[16:20:41.042] [SEVERE ] updating countdown to 19723
[16:20:41.042] [SEVERE ] updating countdown to 19723
[16:20:41.152] [SEVERE ] updating countdown to 19613
[16:20:41.152] [SEVERE ] updating countdown to 19613
[16:20:41.262] [SEVERE ] updating countdown to 19503
[16:20:41.262] [SEVERE ] updating countdown to 19503
[16:20:41.372] [SEVERE ] updating countdown to 19393
[16:20:41.372] [SEVERE ] updating countdown to 19393
[16:20:41.388] [SEVERE ] setting player 1 freeze to 0
[16:20:41.481] [SEVERE ] updating countdown to 19284
[16:20:41.481] [SEVERE ] updating countdown to 19284
[16:20:41.592] [SEVERE ] updating countdown to 19173
[16:20:41.592] [SEVERE ] updating countdown to 19173
[16:20:41.702] [SEVERE ] updating countdown to 19063
[16:20:41.702] [SEVERE ] updating countdown to 19063
[16:20:41.812] [SEVERE ] updating countdown to 18953
[16:20:41.812] [SEVERE ] updating countdown to 18953
[16:20:41.922] [SEVERE ] updating countdown to 18843
[16:20:41.922] [SEVERE ] updating countdown to 18843
[16:20:42.031] [SEVERE ] updating countdown to 18734
[16:20:42.031] [SEVERE ] updating countdown to 18734
[16:20:42.141] [SEVERE ] updating countdown to 18624
[16:20:42.141] [SEVERE ] updating countdown to 18624
[16:20:42.251] [SEVERE ] updating countdown to 18514
[16:20:42.251] [SEVERE ] updating countdown to 18514
[16:20:42.361] [SEVERE ] updating countdown to 18404
[16:20:42.361] [SEVERE ] updating countdown to 18404
[16:20:42.470] [SEVERE ] updating countdown to 18295
[16:20:42.470] [SEVERE ] updating countdown to 18295
[16:20:42.580] [SEVERE ] updating countdown to 18185
[16:20:42.580] [SEVERE ] updating countdown to 18185
[16:20:42.690] [SEVERE ] updating countdown to 18075
[16:20:42.690] [SEVERE ] updating countdown to 18075
[16:20:42.799] [SEVERE ] updating countdown to 17966
[16:20:42.799] [SEVERE ] updating countdown to 17966
[16:20:42.909] [SEVERE ] updating countdown to 17856
[16:20:42.909] [SEVERE ] updating countdown to 17856
[16:20:43.018] [SEVERE ] updating countdown to 17747
[16:20:43.018] [SEVERE ] updating countdown to 17747
[16:20:43.128] [SEVERE ] updating countdown to 17637
[16:20:43.128] [SEVERE ] updating countdown to 17637
[16:20:43.238] [SEVERE ] updating countdown to 17527
[16:20:43.238] [SEVERE ] updating countdown to 17527
[16:20:43.347] [SEVERE ] updating countdown to 17418
[16:20:43.347] [SEVERE ] updating countdown to 17418
[16:20:43.458] [SEVERE ] updating countdown to 17307
[16:20:43.458] [SEVERE ] updating countdown to 17307
[16:20:43.568] [SEVERE ] updating countdown to 17197
[16:20:43.568] [SEVERE ] updating countdown to 17197
[16:20:43.677] [SEVERE ] updating countdown to 17088
[16:20:43.677] [SEVERE ] updating countdown to 17088
[16:20:43.786] [SEVERE ] updating countdown to 16979
[16:20:43.786] [SEVERE ] updating countdown to 16979
[16:20:43.897] [SEVERE ] updating countdown to 16868
[16:20:43.897] [SEVERE ] updating countdown to 16868
[16:20:44.006] [SEVERE ] updating countdown to 16759
